run_id,created_at_utc,kind,label,start,end,symbols,signal,margin_usd,leverage,account_cap,symbol_cap,tp_offset_bps,initial_equity,trades,win_rate_pct,net_pnl,roi_pct,max_drawdown_pct,liquidated,near_liquidation,final_open_exposure,stability_pass,avg_monthly_roi_pct,target_month_pct,positive_month_pct,json_path,csv_path,report_path
20260519T093605451973Z_strategy_review_776a1d5159,2026-05-19T09:36:05.451973+00:00,strategy_review,2022_05_09_to_2023_10_30_strategy_review,2022-05-09,2023-10-30,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT,LTCUSDT",trend_grid_a200_e50_s25_t20,100,10,12500,4000,75,30000,600,100.0,6522.51875,21.74172916666667,11.365499736924795,False,False,4632.5271155164755,,1.2078738425925928,38.88888888888889,94.44444444444444,data/backtests/runs/20260519T093605451973Z_strategy_review_776a1d5159.json,logs/research_2022_05_09_to_2023_10_30_grid50.csv,reports/research_2022_05_09_to_2023_10_30_strategy_review.md
20260519T164028920401Z_compare_execution_models_0cd43c6dc9,2026-05-19T16:40:28.920401+00:00,compare_execution_models,current_2022_05_09_to_2023_10_30_core6,2022-05-09,2023-10-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e30_s15_t30,66.0,10,50000.0,10000.0,100.0,30000.0,240,100.0,1631.1368779802644,5.437122926600881,15.569792381290998,False,False,7851.98984155726,,,,,data/backtests/runs/20260519T164028920401Z_compare_execution_models_0cd43c6dc9.json,logs/compare_execution_2022_05_09_to_2023_10_30_current_core6.csv,reports/compare_execution_2022_05_09_to_2023_10_30_current_core6.md
20260519T165538821278Z_compare_execution_models_3710bbf905,2026-05-19T16:55:38.821278+00:00,compare_execution_models,full_active_1y_2025_05_19_to_2026_05_19,2025-05-19,2026-05-19,"BNBUSDT,BTCUSDT,ETHUSDT,HYPEUSDT,SOLUSDT,XAUTUSDT,XRPUSDT",trend_grid_a200_e30_s15_t30,66.0,10,50000.0,10000.0,100.0,30000.0,526,99.80988593155894,3250.0985948103244,10.83366198270108,9.519923748172708,False,False,5382.681774764123,,,,,data/backtests/runs/20260519T165538821278Z_compare_execution_models_3710bbf905.json,logs/compare_execution_2025_05_19_to_2026_05_19_full_active.csv,reports/compare_execution_2025_05_19_to_2026_05_19_full_active.md
20260520T033111144289Z_compare_execution_models_db0481b636,2026-05-20T03:31:11.144289+00:00,compare_execution_models,grid50_best_realistic_2022_05_09_to_2023_10_30,2022-05-09,2023-10-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,564,100.0,3446.544681593976,11.488482271979919,7.9385059971783996,False,False,1809.3855740271981,,,,,data/backtests/runs/20260520T033111144289Z_compare_execution_models_db0481b636.json,logs/compare_execution_2022_05_09_to_2023_10_30_grid50_best_realistic.csv,reports/compare_execution_2022_05_09_to_2023_10_30_grid50_best_realistic.md
20260520T035404985869Z_compare_execution_models_af57e5d10d,2026-05-20T03:54:04.985869+00:00,compare_execution_models,grid50_best_mainnet_like_2022_05_09_to_2023_10_30,2022-05-09,2023-10-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,661,100.0,6120.270907760126,20.400903025867088,10.169886364270813,False,False,4583.84864908818,,,,,data/backtests/runs/20260520T035404985869Z_compare_execution_models_af57e5d10d.json,logs/compare_execution_2022_05_09_to_2023_10_30_grid50_best_mainnet_like.csv,reports/compare_execution_2022_05_09_to_2023_10_30_grid50_best_mainnet_like.md
20260520T051037515018Z_compare_execution_models_1043413b6a,2026-05-20T05:10:37.515018+00:00,compare_execution_models,grid50_best_mainnet_like_2024_10_14_to_2026_05_20,2024-10-14,2026-05-20,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,516,100.0,5123.237488775629,17.077458295918763,25.46624951276808,False,False,7505.600292460029,,,,,data/backtests/runs/20260520T051037515018Z_compare_execution_models_1043413b6a.json,logs/compare_execution_2024_10_14_to_2026_05_20_grid50_best_mainnet_like.csv,reports/compare_execution_2024_10_14_to_2026_05_20_grid50_best_mainnet_like.md
20260520T081425569753Z_compare_execution_models_4fefa314d2,2026-05-20T08:14:25.569753+00:00,compare_execution_models,grid50_best_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,452,100.0,4561.025494399745,15.203418314665818,22.57274620612522,False,False,10290.811152273389,,,,,data/backtests/runs/20260520T081425569753Z_compare_execution_models_4fefa314d2.json,logs/compare_execution_2024_10_30_to_2026_02_02_grid50_best_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_grid50_best_mainnet_like.md
20260520T081728087746Z_compare_execution_models_86282cf941,2026-05-20T08:17:28.087746+00:00,compare_execution_models,grid50_best_mainnet_like_2026_01_01_to_2026_05_20,2026-01-01,2026-05-20,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,82,100.0,692.1993030840076,2.3073310102800253,7.480367490281156,False,False,4373.823443668781,,,,,data/backtests/runs/20260520T081728087746Z_compare_execution_models_86282cf941.json,logs/compare_execution_2026_01_01_to_2026_05_20_grid50_best_mainnet_like.csv,reports/compare_execution_2026_01_01_to_2026_05_20_grid50_best_mainnet_like.md
20260520T085748165200Z_compare_execution_models_4bd634f097,2026-05-20T08:57:48.165200+00:00,compare_execution_models,grid50_trend15_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t15,100.0,10,12500.0,4000.0,75.0,30000.0,517,100.0,4469.146221584468,14.897154071948226,23.65512474644655,False,False,8385.471496663411,,,,,data/backtests/runs/20260520T085748165200Z_compare_execution_models_4bd634f097.json,logs/compare_execution_2024_10_30_to_2026_02_02_grid50_trend15_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_grid50_trend15_mainnet_like.md
20260520T090227814099Z_compare_execution_models_1c12844b1d,2026-05-20T09:02:27.814099+00:00,compare_execution_models,grid50_regime_pause_ema25_adx25_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e50_s25_t20_ema25_adx25_pause,100.0,10,12500.0,4000.0,75.0,30000.0,442,100.0,4211.408957895914,14.038029859653046,65.31315207829974,False,False,15203.02479022052,,,,,data/backtests/runs/20260520T090227814099Z_compare_execution_models_1c12844b1d.json,logs/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_pause_ema25_adx25_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_pause_ema25_adx25_mainnet_like.md
20260520T090711443017Z_compare_execution_models_2610987337,2026-05-20T09:07:11.443017+00:00,compare_execution_models,grid50_regime_reduce50_ema25_adx25_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e50_s25_t20_ema25_adx25_reduce0_5,100.0,10,12500.0,4000.0,75.0,30000.0,451,100.0,3759.081122417689,12.530270408058964,15.685908324235099,False,False,8198.27357107016,,,,,data/backtests/runs/20260520T090711443017Z_compare_execution_models_2610987337.json,logs/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_reduce50_ema25_adx25_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_reduce50_ema25_adx25_mainnet_like.md
20260520T091517770462Z_compare_execution_models_9f644b4cd6,2026-05-20T09:15:17.770462+00:00,compare_execution_models,grid50_regime_blocknew_ema25_adx25_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e50_s25_t20_ema25_adx25_block_new,100.0,10,12500.0,4000.0,75.0,30000.0,441,100.0,4272.207457287928,14.240691524293094,65.32467765743567,False,False,15203.02479022052,,,,,data/backtests/runs/20260520T091517770462Z_compare_execution_models_9f644b4cd6.json,logs/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_blocknew_ema25_adx25_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_blocknew_ema25_adx25_mainnet_like.md
20260520T092239624741Z_compare_execution_models_a4595a6ea3,2026-05-20T09:22:39.624741+00:00,compare_execution_models,grid50_regime_reduce50_ema50_adx35_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e50_s25_t20_ema50_adx35_reduce0_5,100.0,10,12500.0,4000.0,75.0,30000.0,452,100.0,4256.980002439701,14.189933341465668,14.446041878065637,False,False,8810.828476447956,,,,,data/backtests/runs/20260520T092239624741Z_compare_execution_models_a4595a6ea3.json,logs/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_reduce50_ema50_adx35_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_grid50_regime_reduce50_ema50_adx35_mainnet_like.md
20260520T093639983479Z_compare_execution_models_ff0300830d,2026-05-20T09:36:39.983479+00:00,compare_execution_models,current_regime_reduce50_ema50_adx35_mainnet_like_2024_10_30_to_2026_02_02,2024-10-30,2026-02-02,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e30_s15_t30_ema50_adx35_reduce0_5,66.0,10,50000.0,10000.0,100.0,30000.0,523,100.0,5708.99460992818,19.02998203309393,26.311679424765,False,False,7427.594857330999,,,,,data/backtests/runs/20260520T093639983479Z_compare_execution_models_ff0300830d.json,logs/compare_execution_2024_10_30_to_2026_02_02_current_regime_reduce50_ema50_adx35_mainnet_like.csv,reports/compare_execution_2024_10_30_to_2026_02_02_current_regime_reduce50_ema50_adx35_mainnet_like.md
20260520T094502798561Z_compare_execution_models_62c9c4d8f6,2026-05-20T09:45:02.798561+00:00,compare_execution_models,current_regime_reduce50_ema50_adx35_mainnet_like_2022_05_09_to_2023_10_30,2022-05-09,2023-10-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e30_s15_t30_ema50_adx35_reduce0_5,66.0,10,50000.0,10000.0,100.0,30000.0,188,99.46808510638297,1979.9499457392917,6.5998331524643055,17.470162336476207,False,False,7440.375053781685,,,,,data/backtests/runs/20260520T094502798561Z_compare_execution_models_62c9c4d8f6.json,logs/compare_execution_2022_05_09_to_2023_10_30_current_regime_reduce50_ema50_adx35_mainnet_like.csv,reports/compare_execution_2022_05_09_to_2023_10_30_current_regime_reduce50_ema50_adx35_mainnet_like.md
20260520T095211965995Z_compare_execution_models_d69e3ef760,2026-05-20T09:52:11.965995+00:00,compare_execution_models,grid50_regime_reduce50_ema50_adx35_mainnet_like_2022_05_09_to_2023_10_30,2022-05-09,2023-10-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e50_s25_t20_ema50_adx35_reduce0_5,100.0,10,12500.0,4000.0,75.0,30000.0,663,100.0,5618.661162776224,18.728870542587416,10.1698863642708,False,False,4583.84864908818,,,,,data/backtests/runs/20260520T095211965995Z_compare_execution_models_d69e3ef760.json,logs/compare_execution_2022_05_09_to_2023_10_30_grid50_regime_reduce50_ema50_adx35_mainnet_like.csv,reports/compare_execution_2022_05_09_to_2023_10_30_grid50_regime_reduce50_ema50_adx35_mainnet_like.md
20260520T101020904341Z_symbol_candidate_screen_073fbe50fc,2026-05-20T10:10:20.904341+00:00,symbol_candidate_screen,2026_ytd_grid50_best_mainnet_like_candidate_symbols,2026-01-01,2026-05-20,"TONUSDT,ONDOUSDT,XMRUSDT,PENGUUSDT,TAOUSDT,DASHUSDT,VIRTUALUSDT,NEARUSDT,SUIUSDT,LINKUSDT,INJUSDT,DOGEUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,,205,100.0,1990.6258431440806,6.635419477146935,2.792993145843842,False,False,1006.0627693575423,,,,,data/backtests/runs/20260520T101020904341Z_symbol_candidate_screen_073fbe50fc.json,logs/symbol_candidate_backtest_2026_ytd_grid50_best_mainnet_like.csv,
20260520T101243770249Z_compare_execution_models_8122b41875,2026-05-20T10:12:43.770249+00:00,compare_execution_models,grid50_best_plus_virtual_mainnet_like_2026_01_01_to_2026_05_20,2026-01-01,2026-05-20,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,VIRTUALUSDT,XRPUSDT",trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,287,100.0,2682.82514622809,8.942750487426967,7.216522437582206,False,False,5379.886213026323,,,,,data/backtests/runs/20260520T101243770249Z_compare_execution_models_8122b41875.json,logs/compare_execution_2026_01_01_to_2026_05_20_grid50_best_plus_virtual_mainnet_like.csv,reports/compare_execution_2026_01_01_to_2026_05_20_grid50_best_plus_virtual_mainnet_like.md
20260520T102922176612Z_cli_backtest_d8705b6d6c,2026-05-20T10:29:22.176612+00:00,cli_backtest,,2023-02-17,2023-10-30,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",trend_grid_a200_e50_s25_t30,100.0,10,12500.0,4000.0,75.0,10000.0,479,100.0,5953.030749999997,59.53030749999997,14.156230505990006,False,False,8462.553676163941,,,,,data/backtests/runs/20260520T102922176612Z_cli_backtest_d8705b6d6c.json,,
20260520T120148211880Z_cli_backtest_b4851e3518,2026-05-20T12:01:48.211880+00:00,cli_backtest,,2024-05-20,2026-05-20,"BNBUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,XRPUSDT",rg_trend_grid_a200_e50_s25_t20_ema25_adx25_reduce0_5,100.0,10,12500.0,4000.0,75.0,10000.0,1026,100.0,8890.240625,88.90240625,41.47618305783422,False,False,5725.8737383765065,,,,,data/backtests/runs/20260520T120148211880Z_cli_backtest_b4851e3518.json,,
20260520T124901336103Z_cli_backtest_b38363dfe6,2026-05-20T12:49:01.336103+00:00,cli_backtest,,2026-01-01,2026-05-20,ADAUSDT,trend_grid_a200_e50_s25_t20,100.0,10,12500.0,4000.0,75.0,30000.0,16,100.0,177.19475000000006,0.5906491666666669,1.0388894933556367,False,False,770.164790741632,,,,,data/backtests/runs/20260520T124901336103Z_cli_backtest_b38363dfe6.json,,
